case_id,category,phase,function,params,fm1,f0,f1,f2,truth
P0055,smooth_polynomial,2,quadratic,"{""a"":0.0,""b"":0.4,""c"":0.0}",-0.4,0.0,0.4,0.8,0.26666666666666666
P0056,smooth_polynomial,2,quadratic,"{""a"":0.0,""b"":0.4,""c"":0.3}",-0.10000000000000003,0.3,0.7,1.1,0.5666666666666667
P0057,smooth_polynomial,2,quadratic,"{""a"":0.0,""b"":0.4,""c"":0.75}",0.35,0.75,1.15,1.55,1.0166666666666666
P0058,smooth_polynomial,2,quadratic,"{""a"":0.0,""b"":0.9,""c"":0.0}",-0.9,0.0,0.9,1.8,0.6
P0059,smooth_polynomial,2,quadratic,"{""a"":0.0,""b"":0.9,""c"":0.3}",-0.6000000000000001,0.3,1.2,2.1,0.8999999999999999
P0060,smooth_polynomial,2,quadratic,"{""a"":0.0,""b"":0.9,""c"":0.75}",-0.15000000000000002,0.75,1.65,2.55,1.35
P0061,smooth_polynomial,2,quadratic,"{""a"":0.25,""b"":-0.7,""c"":0.0}",0.95,0.0,-0.44999999999999996,-0.3999999999999999,-0.3555555555555555
P0062,smooth_polynomial,2,quadratic,"{""a"":0.25,""b"":-0.7,""c"":0.3}",1.25,0.3,-0.14999999999999997,-0.09999999999999992,-0.055555555555555525
P0063,smooth_polynomial,2,quadratic,"{""a"":0.25,""b"":-0.7,""c"":0.75}",1.7,0.75,0.30000000000000004,0.3500000000000001,0.3944444444444445
P0064,smooth_polynomial,2,quadratic,"{""a"":0.25,""b"":-0.15,""c"":0.0}",0.4,0.0,0.1,0.7,0.011111111111111113
P0065,smooth_polynomial,2,quadratic,"{""a"":0.25,""b"":-0.15,""c"":0.3}",0.7,0.3,0.4,1.0,0.3111111111111111
P0066,smooth_polynomial,2,quadratic,"{""a"":0.25,""b"":-0.15,""c"":0.75}",1.15,0.75,0.85,1.45,0.7611111111111111
P0067,smooth_polynomial,2,quadratic,"{""a"":0.25,""b"":0.4,""c"":0.0}",-0.15000000000000002,0.0,0.65,1.8,0.37777777777777777
P0068,smooth_polynomial,2,quadratic,"{""a"":0.25,""b"":0.4,""c"":0.3}",0.14999999999999997,0.3,0.95,2.1,0.6777777777777778
P0069,smooth_polynomial,2,quadratic,"{""a"":0.25,""b"":0.4,""c"":0.75}",0.6,0.75,1.4,2.55,1.1277777777777778
P0070,smooth_polynomial,2,quadratic,"{""a"":0.25,""b"":0.9,""c"":0.0}",-0.65,0.0,1.15,2.8,0.711111111111111
P0071,smooth_polynomial,2,quadratic,"{""a"":0.25,""b"":0.9,""c"":0.3}",-0.35000000000000003,0.3,1.45,3.0999999999999996,1.011111111111111
P0072,smooth_polynomial,2,quadratic,"{""a"":0.25,""b"":0.9,""c"":0.75}",0.09999999999999998,0.75,1.9,3.55,1.461111111111111
P0073,sinusoid,1,sin,"{""freq"":0.08,""phi"":0.0}",0.28321084665422813,0.5,0.7167891533457719,0.8799475664759068,0.5750459360222461
P0074,sinusoid,1,sin,"{""freq"":0.08,""phi"":0.37}",0.44048025249198647,0.662726944384233,0.8447171642820726,0.9414289631880834,0.730415500617587
P0075,sinusoid,1,sin,"{""freq"":0.08,""phi"":0.91}",0.6782779090532162,0.8552766828604776,0.9443847518557075,0.9235579702611045,0.8963605256140483
P0076,sinusoid,1,sin,"{""freq"":0.08,""phi"":1.73}",0.9237191625813801,0.9443092278653225,0.8549831261856461,0.6778389416933486,0.9261899555312407
P0077,sinusoid,1,sin,"{""freq"":0.15,""phi"":0.0}",0.13594235253127362,0.5,0.8640576474687264,0.9279754323328191,0.6390576474687264
P0078,sinusoid,1,sin,"{""freq"":0.15,""phi"":0.37}",0.25622759794757455,0.662726944384233,0.9350693981717646,0.8487278075540174,0.7844097681841611
P0079,sinusoid,1,sin,"{""freq"":0.15,""phi"":0.91}",0.48538756096595187,0.8552766828604776,0.9322652283716057,0.652881569770858,0.9232342443900284
P0080,sinusoid,1,sin,"{""freq"":0.15,""phi"":1.73}",0.8188731987997298,0.9443092278653225,0.7034436243936553,0.29485309631771717,0.9005180993532904
P0081,sinusoid,1,sin,"{""freq"":0.22,""phi"":0.0}",0.057970737172090114,0.5,0.9420292628279099,0.6656560487081051,0.7000858306332174
P0082,sinusoid,1,sin,"{""freq"":0.22,""phi"":0.37}",0.11837601946469822,0.662726944384233,0.942607958049773,0.5031459776667067,0.8323019291604284
P0083,sinusoid,1,sin,"{""freq"":0.22,""phi"":0.91}",0.2952786306657495,0.8552766828604776,0.8378657930863544,0.27134279006366135,0.9410273310610535
P0084,sinusoid,1,sin,"{""freq"":0.22,""phi"":1.73}",0.6533310305793609,0.9443092278653225,0.5131794638205841,0.060629942647149604,0.8662529935510221
P0085,sinusoid,1,sin,"{""freq"":0.3,""phi"":0.0}",0.07202456766718085,0.5,0.9279754323328191,0.23549663646838714,0.764503363531613
P0086,sinusoid,1,sin,"{""freq"":0.3,""phi"":0.37}",0.050701409931112884,0.662726944384233,0.8487278075540174,0.12174741772515207,0.8782525822748479
P0087,sinusoid,1,sin,"{""freq"":0.3,""phi"":0.91}",0.12754536481104956,0.8552766828604776,0.652881569770858,0.050237310767693555,0.9497626892323064
P0088,sinusoid,1,sin,"{""freq"":0.3,""phi"":1.73}",0.43054869934629175,0.9443092278653225,0.29485309631771717,0.1824785312971295,0.8175214687028707
P0089,sinusoid,1,sin,"{""freq"":0.38,""phi"":0.0}",0.19195380233209003,0.5,0.80804619766791,0.05088797220727781,0.8215127058347615
P0090,sinusoid,1,sin,"{""freq"":0.38,""phi"":0.37}",0.09417726891199107,0.662726944384233,0.6685770565034996,0.09149828462757131,0.913609165108942
P0091,sinusoid,1,sin,"{""freq"":0.38,""phi"":0.91}",0.05195239967549553,0.8552766828604776,0.43007648860523545,0.2466674093913761,0.9459011273494009
P0092,sinusoid,1,sin,"{""freq"":0.38,""phi"":1.73}",0.22494769201948062,0.9443092278653225,0.12727733200521718,0.5990970355286844,0.7598968261006515
P0093,sinusoid,1,sin,"{""freq"":0.46,""phi"":0.0}",0.3880895507758153,0.5,0.6119104492241847,0.28321084665422813,0.8695171441101668
P0094,sinusoid,1,sin,"{""freq"":0.46,""phi"":0.37}",0.23804824973675376,0.662726944384233,0.4467225938782797,0.4404802524919865,0.9373814131120659
P0095,sinusoid,1,sin,"{""freq"":0.46,""phi"":0.91}",0.08720042490497754,0.8552766828604776,0.22456954997443107,0.6782779090532162,0.9295507997512531
P0096,sinusoid,1,sin,"{""freq"":0.46,""phi"":1.73}",0.08739095096408567,0.9443092278653225,0.05190817614708382,0.9237191625813801,0.6949930124620182
P0097,sinusoid,2,sin,"{""freq"":0.08,""phi"":0.0}",0.28321084665422813,0.5,0.7167891533457719,0.8799475664759068,0.6479899910323624
P0098,sinusoid,2,sin,"{""freq"":0.08,""phi"":0.37}",0.44048025249198647,0.662726944384233,0.8447171642820726,0.9414289631880834,0.7916505965928816
P0099,sinusoid,2,sin,"{""freq"":0.08,""phi"":0.91}",0.6782779090532162,0.8552766828604776,0.9443847518557075,0.9235579702611045,0.9263431321527904
P0100,sinusoid,2,sin,"{""freq"":0.08,""phi"":1.73}",0.9237191625813801,0.9443092278653225,0.8549831261856461,0.6778389416933486,0.8961339865207938
P0101,sinusoid,2,sin,"{""freq"":0.15,""phi"":0.0}",0.13594235253127362,0.5,0.8640576474687264,0.9279754323328191,0.764503363531613
P0102,sinusoid,2,sin,"{""freq"":0.15,""phi"":0.37}",0.25622759794757455,0.662726944384233,0.9350693981717646,0.8487278075540174,0.8782525822748479
P0103,sinusoid,2,sin,"{""freq"":0.15,""phi"":0.91}",0.48538756096595187,0.8552766828604776,0.9322652283716057,0.652881569770858,0.9497626892323064
P0104,sinusoid,2,sin,"{""freq"":0.15,""phi"":1.73}",0.8188731987997298,0.9443092278653225,0.7034436243936553,0.29485309631771717,0.8175214687028707
P0105,sinusoid,2,sin,"{""freq"":0.22,""phi"":0.0}",0.057970737172090114,0.5,0.9420292628279099,0.6656560487081051,0.8584384631108883
P0106,sinusoid,2,sin,"{""freq"":0.22,""phi"":0.37}",0.11837601946469822,0.662726944384233,0.942607958049773,0.5031459776667067,0.9325665474142472
P0107,sinusoid,2,sin,"{""freq"":0.22,""phi"":0.91}",0.2952786306657495,0.8552766828604776,0.8378657930863544,0.27134279006366135,0.9347900511762953
P0108,sinusoid,2,sin,"{""freq"":0.22,""phi"":1.73}",0.6533310305793609,0.9443092278653225,0.5131794638205841,0.060629942647149604,0.7118049992277586
P0109,sinusoid,2,sin,"{""freq"":0.3,""phi"":0.0}",0.07202456766718085,0.5,0.9279754323328191,0.23549663646838714,0.9279754323328191
P0110,sinusoid,2,sin,"{""freq"":0.3,""phi"":0.37}",0.050701409931112884,0.662726944384233,0.8487278075540174,0.12174741772515207,0.9492985900688871
P0111,sinusoid,2,sin,"{""freq"":0.3,""phi"":0.91}",0.12754536481104956,0.8552766828604776,0.652881569770858,0.050237310767693555,0.8724546351889504
P0112,sinusoid,2,sin,"{""freq"":0.3,""phi"":1.73}",0.43054869934629175,0.9443092278653225,0.29485309631771717,0.1824785312971295,0.5694513006537083
P0113,sinusoid,2,sin,"{""freq"":0.38,""phi"":0.0}",0.19195380233209003,0.5,0.80804619766791,0.05088797220727781,0.9499013075636804
P0114,sinusoid,2,sin,"{""freq"":0.38,""phi"":0.37}",0.09417726891199107,0.662726944384233,0.6685770565034996,0.09149828462757131,0.9160473958699
P0115,sinusoid,2,sin,"{""freq"":0.38,""phi"":0.91}",0.05195239967549553,0.8552766828604776,0.43007648860523545,0.2466674093913761,0.7686846617394372
P0116,sinusoid,2,sin,"{""freq"":0.38,""phi"":1.73}",0.22494769201948062,0.9443092278653225,0.12727733200521718,0.5990970355286844,0.4193713352114835
P0117,sinusoid,2,sin,"{""freq"":0.46,""phi"":0.0}",0.3880895507758153,0.5,0.6119104492241847,0.28321084665422813,0.9217768952713512
P0118,sinusoid,2,sin,"{""freq"":0.46,""phi"":0.37}",0.23804824973675376,0.662726944384233,0.4467225938782797,0.4404802524919865,0.836512069047858
P0119,sinusoid,2,sin,"{""freq"":0.46,""phi"":0.91}",0.08720042490497754,0.8552766828604776,0.22456954997443107,0.6782779090532162,0.6350242559949993
P0120,sinusoid,2,sin,"{""freq"":0.46,""phi"":1.73}",0.08739095096408567,0.9443092278653225,0.05190817614708382,0.9237191625813801,0.2782610877661441
P0121,smooth_edge,1,logistic,"{""center"":-0.35,""sharp"":2.0}",0.2141650169574414,0.6681877721681662,0.9370266439430035,0.990986701347152,0.7968410695441766
P0122,smooth_edge,1,logistic,"{""center"":-0.35,""sharp"":5.0}",0.03732688734412946,0.8519528019683106,0.9988304897349445,0.9999921107374138,0.9682213690407698
P0123,smooth_edge,1,logistic,"{""center"":-0.35,""sharp"":12.0}",0.00040956716498605005,0.9852259683067269,0.9999999078640001,0.9999999999994338,0.9997254218438986
P0124,smooth_edge,1,logistic,"{""center"":-0.35,""sharp"":28.0}",1.2469252630268726e-08,0.9999445514752772,1.0,1.0,0.9999999950965821
P0125,smooth_edge,1,logistic,"{""center"":-0.1,""sharp"":2.0}",0.14185106490048777,0.549833997312478,0.9002495108803148,0.9852259683067269,0.7040516276171624
P0126,smooth_edge,1,logistic,"{""center"":-0.1,""sharp"":5.0}",0.01098694263059318,0.6224593312018546,0.995929862284104,0.9999724643088853,0.8972159750827483
P0127,smooth_edge,1,logistic,"{""center"":-0.1,""sharp"":12.0}",2.039908727992137e-05,0.7685247834990178,0.9999981494022271,0.9999999999886295,0.9945137011005495
P0128,smooth_edge,1,logistic,"{""center"":-0.1,""sharp"":28.0}",1.1370486739137451e-11,0.9426758241011313,0.999999999999958,1.0,0.9999946227781964
P0129,smooth_edge,1,logistic,"{""center"":0.15,""sharp"":2.0}",0.09112296101485616,0.425557483188341,0.8455347349164652,0.9758729785823308,0.5906532827008858
P0130,smooth_edge,1,logistic,"{""center"":0.15,""sharp"":5.0}",0.0031726828424851893,0.320821300824607,0.9859363729567544,0.9999038975845005,0.7143624294910559
P0131,smooth_edge,1,logistic,"{""center"":0.15,""sharp"":12.0}",1.0156304394962548e-06,0.14185106490048782,0.9999628310628971,0.9999999997716176,0.9002495108803148
P0132,smooth_edge,1,logistic,"{""center"":0.15,""sharp"":28.0}",1.0368541797114045e-14,0.014774031693273055,0.9999999999538904,1.0,0.9941376978036617
P0133,smooth_edge,1,logistic,"{""center"":0.4,""sharp"":2.0}",0.057324175898868755,0.31002551887238755,0.7685247834990175,0.9608342772032357,0.4667159617488687
P0134,smooth_edge,1,logistic,"{""center"":0.4,""sharp"":5.0}",0.0009110511944006454,0.11920292202211755,0.9525741268224334,0.9996646498695336,0.4174297935376853
P0135,smooth_edge,1,logistic,"{""center"":0.4,""sharp"":12.0}",5.056531092650458e-08,0.00816257115315989,0.9992539711661633,0.9999999954128183,0.31002551887238744
P0136,smooth_edge,1,logistic,"{""center"":0.4,""sharp"":28.0}",9.454886273886608e-18,1.3674009084599712e-05,0.9999999494346891,1.0,0.1339278883240735
P0137,smooth_edge,1,logistic,"{""center"":0.65,""sharp"":2.0}",0.03557118927263618,0.2141650169574414,0.6681877721681662,0.9370266439430035,0.34675509928171655
P0138,smooth_edge,1,logistic,"{""center"":0.65,""sharp"":5.0}",0.0002611903190957194,0.03732688734412946,0.8519528019683106,0.9988304897349445,0.1703239186438458
P0139,smooth_edge,1,logistic,"{""center"":0.65,""sharp"":12.0}",2.5174987131004875e-09,0.00040956716498605005,0.9852259683067269,0.9999999078640001,0.02188127093613046
P0140,smooth_edge,1,logistic,"{""center"":0.65,""sharp"":28.0}",8.621740279526137e-21,1.2469252630268726e-08,0.9999445514752772,1.0,0.0001409919630903207
P0141,smooth_edge,1,logistic,"{""center"":0.9,""sharp"":2.0}",0.021881270936130476,0.14185106490048777,0.5498339973124778,0.9002495108803148,0.2435464707695958
P0142,smooth_edge,1,logistic,"{""center"":0.9,""sharp"":5.0}",7.484622751061123e-05,0.01098694263059318,0.6224593312018545,0.995929862284104,0.05554926015761178
P0143,smooth_edge,1,logistic,"{""center"":0.9,""sharp"":12.0}",1.2533888084497407e-10,2.039908727992137e-05,0.7685247834990175,0.9999981494022271,0.0011125360328603216
P0144,smooth_edge,1,logistic,"{""center"":0.9,""sharp"":28.0}",7.862009472594838e-24,1.1370486739137451e-11,0.9426758241011313,0.999999999999958,1.2858614151064257e-07
P0145,smooth_edge,1,logistic,"{""center"":1.15,""sharp"":2.0}",0.013386917827664779,0.09112296101485616,0.4255574831883411,0.8455347349164652,0.16337423951337943
P0146,smooth_edge,1,logistic,"{""center"":1.15,""sharp"":5.0}",2.144494842091395e-05,0.0031726828424851893,0.3208213008246071,0.9859363729567544,0.016571944094738476
P0147,smooth_edge,1,logistic,"{""center"":1.15,""sharp"":12.0}",6.240255430523483e-12,1.0156304394962548e-06,0.14185106490048793,0.9999628310628971,5.5448524722794907e-05
P0148,smooth_edge,1,logistic,"{""center"":1.15,""sharp"":28.0}",7.169224651078006e-27,1.0368541797114045e-14,0.014774031693273095,0.9999999999538904,1.1725539852746633e-10
P0149,smooth_edge,2,logistic,"{""center"":-0.35,""sharp"":2.0}",0.2141650169574414,0.6681877721681662,0.9370266439430035,0.990986701347152,0.8842526814109779
P0150,smooth_edge,2,logistic,"{""center"":-0.35,""sharp"":5.0}",0.03732688734412946,0.8519528019683106,0.9988304897349445,0.9999921107374138,0.9938389829390936
P0151,smooth_edge,2,logistic,"{""center"":-0.35,""sharp"":12.0}",0.00040956716498605005,0.9852259683067269,0.9999999078640001,0.9999999999994338,0.9999949695696981
P0152,smooth_edge,2,logistic,"{""center"":-0.35,""sharp"":28.0}",1.2469252630268726e-08,0.9999445514752772,1.0,1.0,0.9999999999995663
P0153,smooth_edge,2,logistic,"{""center"":-0.1,""sharp"":2.0}",0.14185106490048777,0.549833997312478,0.9002495108803148,0.9852259683067269,0.8224934972879262
P0154,smooth_edge,2,logistic,"{""center"":-0.1,""sharp"":5.0}",0.01098694263059318,0.6224593312018546,0.995929862284104,0.9999724643088853,0.9788208895449324
P0155,smooth_edge,2,logistic,"{""center"":-0.1,""sharp"":12.0}",2.039908727992137e-05,0.7685247834990178,0.9999981494022271,0.9999999999886295,0.9998989708060922
P0156,smooth_edge,2,logistic,"{""center"":-0.1,""sharp"":28.0}",1.1370486739137451e-11,0.9426758241011313,0.999999999999958,1.0,0.9999999995245059
P0157,smooth_edge,2,logistic,"{""center"":0.15,""sharp"":2.0}",0.09112296101485616,0.425557483188341,0.8455347349164652,0.9758729785823308,0.7375616214876249
P0158,smooth_edge,2,logistic,"{""center"":0.15,""sharp"":5.0}",0.0031726828424851893,0.320821300824607,0.9859363729567544,0.9999038975845005,0.9297812081694472
P0159,smooth_edge,2,logistic,"{""center"":0.15,""sharp"":12.0}",1.0156304394962548e-06,0.14185106490048782,0.9999628310628971,0.9999999997716176,0.9979746796109501
P0160,smooth_edge,2,logistic,"{""center"":0.15,""sharp"":28.0}",1.0368541797114045e-14,0.014774031693273055,0.9999999999538904,1.0,0.9999994785576881
P0161,smooth_edge,2,logistic,"{""center"":0.4,""sharp"":2.0}",0.057324175898868755,0.31002551887238755,0.7685247834990175,0.9608342772032357,0.6302602229177513
P0162,smooth_edge,2,logistic,"{""center"":0.4,""sharp"":5.0}",0.0009110511944006454,0.11920292202211755,0.9525741268224334,0.9996646498695336,0.791391472673955
P0163,smooth_edge,2,logistic,"{""center"":0.4,""sharp"":12.0}",5.056531092650458e-08,0.00816257115315989,0.9992539711661633,0.9999999954128183,0.9608342772032357
P0164,smooth_edge,2,logistic,"{""center"":0.4,""sharp"":28.0}",9.454886273886608e-18,1.3674009084599712e-05,0.9999999494346891,1.0,0.9994284955764196
P0165,smooth_edge,2,logistic,"{""center"":0.65,""sharp"":2.0}",0.03557118927263618,0.2141650169574414,0.6681877721681662,0.9370266439430035,0.5083325618141193
P0166,smooth_edge,2,logistic,"{""center"":0.65,""sharp"":5.0}",0.0002611903190957194,0.03732688734412946,0.8519528019683106,0.9988304897349445,0.5208212853727429
P0167,smooth_edge,2,logistic,"{""center"":0.65,""sharp"":12.0}",2.5174987131004875e-09,0.00040956716498605005,0.9852259683067269,0.9999999078640001,0.5498339973124777
P0168,smooth_edge,2,logistic,"{""center"":0.65,""sharp"":28.0}",8.621740279526137e-21,1.2469252630268726e-08,0.9999445514752772,1.0,0.6145944982675491
P0169,smooth_edge,2,logistic,"{""center"":0.9,""sharp"":2.0}",0.021881270936130476,0.14185106490048777,0.5498339973124778,0.9002495108803148,0.3854055017324505
P0170,smooth_edge,2,logistic,"{""center"":0.9,""sharp"":5.0}",7.484622751061123e-05,0.01098694263059318,0.6224593312018545,0.995929862284104,0.23745802834390245
P0171,smooth_edge,2,logistic,"{""center"":0.9,""sharp"":12.0}",1.2533888084497407e-10,2.039908727992137e-05,0.7685247834990175,0.9999981494022271,0.05732417589886871
P0172,smooth_edge,2,logistic,"{""center"":0.9,""sharp"":28.0}",7.862009472594838e-24,1.1370486739137451e-11,0.9426758241011313,0.999999999999958,0.0014520391100099098
P0173,smooth_edge,2,logistic,"{""center"":1.15,""sharp"":2.0}",0.013386917827664779,0.09112296101485616,0.4255574831883411,0.8455347349164652,0.2755454045751979
