triad,order0,order1,order2,lab31g_ms,lab32c_ms,k185_ms,lab31g_minus_lab32c_ms,lab32c_faster
68,LAB32C,LAB31G,K185,0.491552000,0.494048000,0.493824000,-0.002496000,0
69,LAB32C,K185,LAB31G,0.491392000,0.494432000,0.493760000,-0.003040000,0
70,K185,LAB31G,LAB32C,0.491520000,0.494688000,0.493920000,-0.003168000,0
71,K185,LAB32C,LAB31G,0.491392000,0.494656000,0.493984000,-0.003264000,0
72,LAB31G,LAB32C,K185,0.491552000,0.494656000,0.493600000,-0.003104000,0
73,LAB31G,K185,LAB32C,0.491392000,0.494784000,0.493984000,-0.003392000,0
74,LAB32C,LAB31G,K185,0.491552000,0.494048000,0.493824000,-0.002496000,0
75,LAB32C,K185,LAB31G,0.491392000,0.494432000,0.493760000,-0.003040000,0
76,K185,LAB31G,LAB32C,0.491520000,0.494688000,0.493920000,-0.003168000,0
77,K185,LAB32C,LAB31G,0.491392000,0.494656000,0.493984000,-0.003264000,0
78,LAB31G,LAB32C,K185,0.491552000,0.494656000,0.493600000,-0.003104000,0
79,LAB31G,K185,LAB32C,0.491392000,0.494784000,0.493984000,-0.003392000,0
80,LAB32C,LAB31G,K185,0.491552000,0.494048000,0.493824000,-0.002496000,0
81,LAB32C,K185,LAB31G,0.491392000,0.494432000,0.493760000,-0.003040000,0
82,K185,LAB31G,LAB32C,0.491520000,0.494688000,0.493920000,-0.003168000,0
83,K185,LAB32C,LAB31G,0.491392000,0.494656000,0.493984000,-0.003264000,0
84,LAB31G,LAB32C,K185,0.491552000,0.494656000,0.493600000,-0.003104000,0
85,LAB31G,K185,LAB32C,0.491392000,0.494784000,0.493984000,-0.003392000,0
86,LAB32C,LAB31G,K185,0.491552000,0.494048000,0.493824000,-0.002496000,0
87,LAB32C,K185,LAB31G,0.491392000,0.494432000,0.493760000,-0.003040000,0
88,K185,LAB31G,LAB32C,0.491520000,0.494688000,0.493920000,-0.003168000,0
89,K185,LAB32C,LAB31G,0.491392000,0.494656000,0.493984000,-0.003264000,0
90,LAB31G,LAB32C,K185,0.491552000,0.494656000,0.493600000,-0.003104000,0
91,LAB31G,K185,LAB32C,0.491392000,0.494784000,0.493984000,-0.003392000,0
92,LAB32C,LAB31G,K185,0.491552000,0.494048000,0.493824000,-0.002496000,0
93,LAB32C,K185,LAB31G,0.491392000,0.494432000,0.493760000,-0.003040000,0
94,K185,LAB31G,LAB32C,0.491520000,0.494688000,0.493920000,-0.003168000,0
95,K185,LAB32C,LAB31G,0.491392000,0.494656000,0.493984000,-0.003264000,0
96,LAB31G,LAB32C,K185,0.491552000,0.494656000,0.493600000,-0.003104000,0
97,LAB31G,K185,LAB32C,0.491392000,0.494784000,0.493984000,-0.003392000,0
98,LAB32C,LAB31G,K185,0.491552000,0.494048000,0.493824000,-0.002496000,0
99,LAB32C,K185,LAB31G,0.491392000,0.494432000,0.493760000,-0.003040000,0
100,K185,LAB31G,LAB32C,0.491520000,0.494688000,0.493920000,-0.003168000,0
101,K185,LAB32C,LAB31G,0.491392000,0.494656000,0.493984000,-0.003264000,0
102,LAB31G,LAB32C,K185,0.491552000,0.494656000,0.493600000,-0.003104000,0
103,LAB31G,K185,LAB32C,0.491392000,0.494784000,0.493984000,-0.003392000,0
104,LAB32C,LAB31G,K185,0.491552000,0.494048000,0.493824000,-0.002496000,0
105,LAB32C,K185,LAB31G,0.491392000,0.494432000,0.493760000,-0.003040000,0
106,K185,LAB31G,LAB32C,0.491520000,0.494688000,0.493920000,-0.003168000,0
107,K185,LAB32C,LAB31G,0.491392000,0.494656000,0.493984000,-0.003264000,0
108,LAB31G,LAB32C,K185,0.491552000,0.494656000,0.493600000,-0.003104000,0
109,LAB31G,K185,LAB32C,0.491392000,0.494784000,0.493984000,-0.003392000,0
110,LAB32C,LAB31G,K185,0.491552000,0.494048000,0.493824000,-0.002496000,0
111,LAB32C,K185,LAB31G,0.491392000,0.494432000,0.493760000,-0.003040000,0
112,K185,LAB31G,LAB32C,0.491520000,0.494688000,0.493920000,-0.003168000,0
113,K185,LAB32C,LAB31G,0.491392000,0.494656000,0.493984000,-0.003264000,0
114,LAB31G,LAB32C,K185,0.491552000,0.494656000,0.493600000,-0.003104000,0
115,LAB31G,K185,LAB32C,0.491392000,0.494784000,0.493984000,-0.003392000,0
116,LAB32C,LAB31G,K185,0.491552000,0.494048000,0.493824000,-0.002496000,0
117,LAB32C,K185,LAB31G,0.491392000,0.494432000,0.493760000,-0.003040000,0
118,K185,LAB31G,LAB32C,0.491520000,0.494688000,0.493920000,-0.003168000,0
119,K185,LAB32C,LAB31G,0.491392000,0.494656000,0.493984000,-0.003264000,0
120,LAB31G,LAB32C,K185,0.491552000,0.494656000,0.493600000,-0.003104000,0
121,LAB31G,K185,LAB32C,0.491392000,0.494784000,0.493984000,-0.003392000,0
122,LAB32C,LAB31G,K185,0.491552000,0.494048000,0.493824000,-0.002496000,0
123,LAB32C,K185,LAB31G,0.491392000,0.494432000,0.493760000,-0.003040000,0
124,K185,LAB31G,LAB32C,0.491520000,0.494688000,0.493920000,-0.003168000,0
125,K185,LAB32C,LAB31G,0.491392000,0.494656000,0.493984000,-0.003264000,0
126,LAB31G,LAB32C,K185,0.491552000,0.494656000,0.493600000,-0.003104000,0
127,LAB31G,K185,LAB32C,0.491392000,0.494784000,0.493984000,-0.003392000,0
128,LAB32C,LAB31G,K185,0.491552000,0.494048000,0.493824000,-0.002496000,0
129,LAB32C,K185,LAB31G,0.491392000,0.494432000,0.493760000,-0.003040000,0
130,K185,LAB31G,LAB32C,0.491520000,0.494688000,0.493920000,-0.003168000,0
131,K185,LAB32C,LAB31G,0.491392000,0.494656000,0.493984000,-0.003264000,0
132,LAB31G,LAB32C,K185,0.491552000,0.494656000,0.493600000,-0.003104000,0
133,LAB31G,K185,LAB32C,0.491392000,0.494784000,0.493984000,-0.003392000,0
134,LAB32C,LAB31G,K185,0.491552000,0.494048000,0.493824000,-0.002496000,0
135,LAB32C,K185,LAB31G,0.491392000,0.494432000,0.493760000,-0.003040000,0
136,K185,LAB31G,LAB32C,0.491520000,0.494688000,0.493920000,-0.003168000,0
137,K185,LAB32C,LAB31G,0.491392000,0.494656000,0.493984000,-0.003264000,0
138,LAB31G,LAB32C,K185,0.491552000,0.494656000,0.493600000,-0.003104000,0
139,LAB31G,K185,LAB32C,0.491392000,0.494784000,0.493984000,-0.003392000,0
140,LAB32C,LAB31G,K185,0.498432000,0.497440000,0.498816000,0.000992000,1
141,LAB32C,K185,LAB31G,0.493440000,0.498880000,0.494240000,-0.005440000,0
142,K185,LAB31G,LAB32C,0.496224000,0.495552000,0.498848000,0.000672000,1
143,K185,LAB32C,LAB31G,0.494976000,0.494912000,0.496896000,0.000064000,1
144,LAB31G,LAB32C,K185,0.492320000,0.494368000,0.494688000,-0.002048000,0
145,LAB31G,K185,LAB32C,0.494048000,0.501664000,0.494112000,-0.007616000,0
146,LAB32C,LAB31G,K185,0.495392000,0.494464000,0.495808000,0.000928000,1
147,LAB32C,K185,LAB31G,0.492672000,0.498720000,0.497696000,-0.006048000,0
148,K185,LAB31G,LAB32C,0.496416000,0.496992000,0.494784000,-0.000576000,0
149,K185,LAB32C,LAB31G,0.497600000,0.496096000,0.494496000,0.001504000,1
150,LAB31G,LAB32C,K185,0.495968000,0.787040000,0.698208000,-0.291072000,0
151,LAB31G,K185,LAB32C,0.762560000,0.760064000,0.707424000,0.002496000,1
152,LAB32C,LAB31G,K185,0.755936000,0.751136000,0.689408000,0.004800000,1
153,LAB32C,K185,LAB31G,0.750272000,0.750784000,0.691360000,-0.000512000,0
154,K185,LAB31G,LAB32C,0.751520000,0.761664000,0.697952000,-0.010144000,0
155,K185,LAB32C,LAB31G,0.760352000,0.754912000,0.703008000,0.005440000,1
156,LAB31G,LAB32C,K185,0.758272000,0.756160000,0.709536000,0.002112000,1
157,LAB31G,K185,LAB32C,0.757600000,0.757248000,0.701824000,0.000352000,1
158,LAB32C,LAB31G,K185,0.756096000,0.756224000,0.696256000,-0.000128000,0
159,LAB32C,K185,LAB31G,0.758112000,0.766848000,0.698720000,-0.008736000,0
160,K185,LAB31G,LAB32C,0.758592000,0.759008000,0.696000000,-0.000416000,0
161,K185,LAB32C,LAB31G,0.754112000,0.762144000,0.699008000,-0.008032000,0
162,LAB31G,LAB32C,K185,0.758112000,0.754208000,0.701088000,0.003904000,1
163,LAB31G,K185,LAB32C,0.752000000,0.761632000,0.698176000,-0.009632000,0
164,LAB32C,LAB31G,K185,0.756960000,0.750400000,0.697216000,0.006560000,1
165,LAB32C,K185,LAB31G,0.753440000,0.760224000,0.697664000,-0.006784000,0
166,K185,LAB31G,LAB32C,0.759360000,0.757792000,0.701536000,0.001568000,1
167,K185,LAB32C,LAB31G,0.751104000,0.754912000,0.690688000,-0.003808000,0
168,LAB31G,LAB32C,K185,0.756864000,0.752928000,0.693728000,0.003936000,1
169,LAB31G,K185,LAB32C,0.756864000,0.758304000,0.696480000,-0.001440000,0
170,LAB32C,LAB31G,K185,0.759136000,0.751040000,0.700576000,0.008096000,1
171,LAB32C,K185,LAB31G,0.755296000,0.753824000,0.698304000,0.001472000,1
172,K185,LAB31G,LAB32C,0.750688000,0.754368000,0.696896000,-0.003680000,0
173,K185,LAB32C,LAB31G,0.752960000,0.749728000,0.696576000,0.003232000,1
174,LAB31G,LAB32C,K185,0.751488000,0.751520000,0.695296000,-0.000032000,0
175,LAB31G,K185,LAB32C,0.752672000,0.755072000,0.692800000,-0.002400000,0
176,LAB32C,LAB31G,K185,0.752288000,0.750336000,0.694816000,0.001952000,1
177,LAB32C,K185,LAB31G,0.751040000,0.752608000,0.691136000,-0.001568000,0
178,K185,LAB31G,LAB32C,0.753664000,0.752832000,0.693696000,0.000832000,1
179,K185,LAB32C,LAB31G,0.750336000,0.752288000,0.694784000,-0.001952000,0
180,LAB31G,LAB32C,K185,0.750464000,0.750688000,0.693824000,-0.000224000,0
181,LAB31G,K185,LAB32C,0.750400000,0.752480000,0.694464000,-0.002080000,0
182,LAB32C,LAB31G,K185,0.751680000,0.749920000,0.696288000,0.001760000,1
183,LAB32C,K185,LAB31G,0.751360000,0.753088000,0.696832000,-0.001728000,0
184,K185,LAB31G,LAB32C,0.750112000,0.755264000,0.700384000,-0.005152000,0
185,K185,LAB32C,LAB31G,0.751840000,0.752512000,0.696672000,-0.000672000,0
186,LAB31G,LAB32C,K185,0.751616000,0.752288000,0.696800000,-0.000672000,0
187,LAB31G,K185,LAB32C,0.752640000,0.754784000,0.698944000,-0.002144000,0
188,LAB32C,LAB31G,K185,0.752064000,0.750272000,0.696928000,0.001792000,1
189,LAB32C,K185,LAB31G,0.752672000,0.752928000,0.696480000,-0.000256000,0
190,K185,LAB31G,LAB32C,0.750208000,0.755968000,0.700576000,-0.005760000,0
191,K185,LAB32C,LAB31G,0.751616000,0.752160000,0.697216000,-0.000544000,0
192,LAB31G,LAB32C,K185,0.752096000,0.751424000,0.695872000,0.000672000,1
193,LAB31G,K185,LAB32C,0.752000000,0.754112000,0.695584000,-0.002112000,0
194,LAB32C,LAB31G,K185,0.752320000,0.750016000,0.694592000,0.002304000,1
195,LAB32C,K185,LAB31G,0.751904000,0.753696000,0.696384000,-0.001792000,0
196,K185,LAB31G,LAB32C,0.751520000,0.756512000,0.700480000,-0.004992000,0
197,K185,LAB32C,LAB31G,0.752736000,0.753280000,0.697792000,-0.000544000,0
198,LAB31G,LAB32C,K185,0.752416000,0.751712000,0.697152000,0.000704000,1
199,LAB31G,K185,LAB32C,0.752736000,0.754048000,0.697376000,-0.001312000,0
200,LAB32C,LAB31G,K185,0.752288000,0.750112000,0.697056000,0.002176000,1
201,LAB32C,K185,LAB31G,0.752192000,0.754080000,0.697600000,-0.001888000,0
202,K185,LAB31G,LAB32C,0.751744000,0.757664000,0.700672000,-0.005920000,0
203,K185,LAB32C,LAB31G,0.752416000,0.753504000,0.697824000,-0.001088000,0
204,LAB31G,LAB32C,K185,0.752608000,0.752384000,0.697888000,0.000224000,1
205,LAB31G,K185,LAB32C,0.752608000,0.754208000,0.697344000,-0.001600000,0
206,LAB32C,LAB31G,K185,0.752640000,0.749856000,0.694752000,0.002784000,1
207,LAB32C,K185,LAB31G,0.752736000,0.754464000,0.697952000,-0.001728000,0
208,K185,LAB31G,LAB32C,0.751776000,0.757280000,0.700512000,-0.005504000,0
209,K185,LAB32C,LAB31G,0.752320000,0.753312000,0.697664000,-0.000992000,0
210,LAB31G,LAB32C,K185,0.752576000,0.752000000,0.697760000,0.000576000,1
211,LAB31G,K185,LAB32C,0.752384000,0.754176000,0.697344000,-0.001792000,0
212,LAB32C,LAB31G,K185,0.752288000,0.749792000,0.694624000,0.002496000,1
213,LAB32C,K185,LAB31G,0.752480000,0.754432000,0.697728000,-0.001952000,0
214,K185,LAB31G,LAB32C,0.751648000,0.757344000,0.700576000,-0.005696000,0
215,K185,LAB32C,LAB31G,0.752288000,0.753216000,0.697632000,-0.000928000,0
216,LAB31G,LAB32C,K185,0.752544000,0.751904000,0.697696000,0.000640000,1
217,LAB31G,K185,LAB32C,0.752256000,0.754112000,0.697280000,-0.001856000,0
218,LAB32C,LAB31G,K185,0.752224000,0.749728000,0.694560000,0.002496000,1
219,LAB32C,K185,LAB31G,0.752448000,0.754400000,0.697728000,-0.001952000,0
220,K185,LAB31G,LAB32C,0.751616000,0.757312000,0.700576000,-0.005696000,0
221,K185,LAB32C,LAB31G,0.752256000,0.753184000,0.697632000,-0.000928000,0
222,LAB31G,LAB32C,K185,0.752512000,0.751872000,0.697664000,0.000640000,1
223,LAB31G,K185,LAB32C,0.752224000,0.754080000,0.697280000,-0.001856000,0
224,LAB32C,LAB31G,K185,0.752192000,0.749696000,0.694528000,0.002496000,1
225,LAB32C,K185,LAB31G,0.752416000,0.754368000,0.697696000,-0.001952000,0
226,K185,LAB31G,LAB32C,0.751584000,0.757280000,0.700544000,-0.005696000,0
227,K185,LAB32C,LAB31G,0.752224000,0.753152000,0.697600000,-0.000928000,0
228,LAB31G,LAB32C,K185,0.752480000,0.751840000,0.697632000,0.000640000,1
229,LAB31G,K185,LAB32C,0.752192000,0.754048000,0.697248000,-0.001856000,0
230,LAB32C,LAB31G,K185,0.752160000,0.749664000,0.694496000,0.002496000,1
231,LAB32C,K185,LAB31G,0.752384000,0.754336000,0.697664000,-0.001952000,0
232,K185,LAB31G,LAB32C,0.751552000,0.757248000,0.700512000,-0.005696000,0
233,K185,LAB32C,LAB31G,0.752192000,0.753120000,0.697568000,-0.000928000,0
234,LAB31G,LAB32C,K185,0.752448000,0.751808000,0.697600000,0.000640000,1
235,LAB31G,K185,LAB32C,0.752160000,0.754016000,0.697216000,-0.001856000,0
236,LAB32C,LAB31G,K185,0.752128000,0.749632000,0.694464000,0.002496000,1
237,LAB32C,K185,LAB31G,0.752352000,0.754304000,0.697632000,-0.001952000,0
238,K185,LAB31G,LAB32C,0.751520000,0.757216000,0.700480000,-0.005696000,0
239,K185,LAB32C,LAB31G,0.752160000,0.753088000,0.697536000,-0.000928000,0
240,LAB31G,LAB32C,K185,0.752416000,0.751776000,0.697568000,0.000640000,1
241,LAB31G,K185,LAB32C,0.752128000,0.753984000,0.697184000,-0.001856000,0
242,LAB32C,LAB31G,K185,0.752096000,0.749600000,0.694432000,0.002496000,1
243,LAB32C,K185,LAB31G,0.752320000,0.754272000,0.697600000,-0.001952000,0
244,K185,LAB31G,LAB32C,0.751488000,0.757184000,0.700448000,-0.005696000,0
245,K185,LAB32C,LAB31G,0.752128000,0.753056000,0.697504000,-0.000928000,0
246,LAB31G,LAB32C,K185,0.752384000,0.751744000,0.697536000,0.000640000,1
247,LAB31G,K185,LAB32C,0.752096000,0.753952000,0.697152000,-0.001856000,0
248,LAB32C,LAB31G,K185,0.752064000,0.749568000,0.694400000,0.002496000,1
249,LAB32C,K185,LAB31G,0.752288000,0.754240000,0.697568000,-0.001952000,0
250,K185,LAB31G,LAB32C,0.751456000,0.757152000,0.700416000,-0.005696000,0
251,K185,LAB32C,LAB31G,0.752096000,0.753024000,0.697472000,-0.000928000,0
252,LAB31G,LAB32C,K185,0.752352000,0.751712000,0.697504000,0.000640000,1
253,LAB31G,K185,LAB32C,0.752064000,0.753920000,0.697120000,-0.001856000,0
254,LAB32C,LAB31G,K185,0.752032000,0.749536000,0.694368000,0.002496000,1
255,LAB32C,K185,LAB31G,0.752256000,0.754208000,0.697536000,-0.001952000,0
256,K185,LAB31G,LAB32C,0.751424000,0.757120000,0.700384000,-0.005696000,0
257,K185,LAB32C,LAB31G,0.752064000,0.752992000,0.697440000,-0.000928000,0
258,LAB31G,LAB32C,K185,0.752320000,0.751680000,0.697472000,0.000640000,1
259,LAB31G,K185,LAB32C,0.752032000,0.753888000,0.697088000,-0.001856000,0
260,LAB32C,LAB31G,K185,0.752000000,0.749504000,0.694336000,0.002496000,1
261,LAB32C,K185,LAB31G,0.752224000,0.754176000,0.697504000,-0.001952000,0
262,K185,LAB31G,LAB32C,0.751392000,0.757088000,0.700352000,-0.005696000,0
263,K185,LAB32C,LAB31G,0.752032000,0.752960000,0.697408000,-0.000928000,0
264,LAB31G,LAB32C,K185,0.752288000,0.751648000,0.697440000,0.000640000,1
265,LAB31G,K185,LAB32C,0.752000000,0.753856000,0.697056000,-0.001856000,0
266,LAB32C,LAB31G,K185,0.751968000,0.749472000,0.694304000,0.002496000,1
267,LAB32C,K185,LAB31G,0.752192000,0.754144000,0.697472000,-0.001952000,0
268,K185,LAB31G,LAB32C,0.751360000,0.757056000,0.700320000,-0.005696000,0
269,K185,LAB32C,LAB31G,0.752000000,0.752928000,0.697376000,-0.000928000,0
270,LAB31G,LAB32C,K185,0.752256000,0.751616000,0.697408000,0.000640000,1
271,LAB31G,K185,LAB32C,0.751968000,0.753824000,0.697024000,-0.001856000,0
272,LAB32C,LAB31G,K185,0.751936000,0.749440000,0.694272000,0.002496000,1
273,LAB32C,K185,LAB31G,0.752160000,0.754112000,0.697440000,-0.001952000,0
274,K185,LAB31G,LAB32C,0.751328000,0.757024000,0.700288000,-0.005696000,0
275,K185,LAB32C,LAB31G,0.751968000,0.752896000,0.697344000,-0.000928000,0
276,LAB31G,LAB32C,K185,0.752224000,0.751584000,0.697376000,0.000640000,1
277,LAB31G,K185,LAB32C,0.751936000,0.753792000,0.696992000,-0.001856000,0
278,LAB32C,LAB31G,K185,0.751904000,0.749408000,0.694240000,0.002496000,1
279,LAB32C,K185,LAB31G,0.752128000,0.754080000,0.697408000,-0.001952000,0
280,K185,LAB31G,LAB32C,0.751296000,0.756992000,0.700256000,-0.005696000,0
281,K185,LAB32C,LAB31G,0.751936000,0.752864000,0.697312000,-0.000928000,0
282,LAB31G,LAB32C,K185,0.752192000,0.751552000,0.697344000,0.000640000,1
283,LAB31G,K185,LAB32C,0.751904000,0.753760000,0.696960000,-0.001856000,0
284,LAB32C,LAB31G,K185,0.751872000,0.749376000,0.694208000,0.002496000,1
285,LAB32C,K185,LAB31G,0.752096000,0.754048000,0.697376000,-0.001952000,0
286,K185,LAB31G,LAB32C,0.751264000,0.756960000,0.700224000,-0.005696000,0
287,K185,LAB32C,LAB31G,0.751904000,0.752832000,0.697280000,-0.000928000,0
288,LAB31G,LAB32C,K185,0.752160000,0.751520000,0.697312000,0.000640000,1
289,LAB31G,K185,LAB32C,0.751872000,0.753728000,0.696928000,-0.001856000,0
290,LAB32C,LAB31G,K185,0.751840000,0.749344000,0.694176000,0.002496000,1
291,LAB32C,K185,LAB31G,0.752064000,0.754016000,0.697344000,-0.001952000,0
292,K185,LAB31G,LAB32C,0.751232000,0.756928000,0.700192000,-0.005696000,0
293,K185,LAB32C,LAB31G,0.751872000,0.752800000,0.697248000,-0.000928000,0
294,LAB31G,LAB32C,K185,0.752128000,0.751488000,0.697280000,0.000640000,1
295,LAB31G,K185,LAB32C,0.751840000,0.753696000,0.696896000,-0.001856000,0
296,LAB32C,LAB31G,K185,0.751808000,0.749312000,0.694144000,0.002496000,1
297,LAB32C,K185,LAB31G,0.752032000,0.753984000,0.697312000,-0.001952000,0
298,K185,LAB31G,LAB32C,0.751200000,0.756896000,0.700160000,-0.005696000,0
299,K185,LAB32C,LAB31G,0.751840000,0.752768000,0.697216000,-0.000928000,0
300,LAB31G,LAB32C,K185,0.752096000,0.751456000,0.697248000,0.000640000,1
301,LAB31G,K185,LAB32C,0.751808000,0.753664000,0.696864000,-0.001856000,0
302,LAB32C,LAB31G,K185,0.751776000,0.749280000,0.694112000,0.002496000,1
303,LAB32C,K185,LAB31G,0.752000000,0.753952000,0.697280000,-0.001952000,0
304,K185,LAB31G,LAB32C,0.751168000,0.756864000,0.700128000,-0.005696000,0
305,K185,LAB32C,LAB31G,0.751808000,0.752736000,0.697184000,-0.000928000,0
306,LAB31G,LAB32C,K185,0.752064000,0.751424000,0.697216000,0.000640000,1
307,LAB31G,K185,LAB32C,0.751776000,0.753632000,0.696832000,-0.001856000,0
308,LAB32C,LAB31G,K185,0.751744000,0.749248000,0.694080000,0.002496000,1
309,LAB32C,K185,LAB31G,0.751968000,0.753920000,0.697248000,-0.001952000,0
310,K185,LAB31G,LAB32C,0.751136000,0.756832000,0.700096000,-0.005696000,0
311,K185,LAB32C,LAB31G,0.751776000,0.752704000,0.697152000,-0.000928000,0
312,LAB31G,LAB32C,K185,0.752032000,0.751392000,0.697184000,0.000640000,1
313,LAB31G,K185,LAB32C,0.751744000,0.753600000,0.696800000,-0.001856000,0
314,LAB32C,LAB31G,K185,0.751712000,0.749216000,0.694048000,0.002496000,1
315,LAB32C,K185,LAB31G,0.751936000,0.753888000,0.697216000,-0.001952000,0
